comunidad,nivel_educativo,ano,miles_parados,miles_activos,tasa_paro
Andalucía,Analfabetos,2014,18.3,27.3,67.03
Andalucía,Analfabetos,2015,14.2,22.9,62.01
Andalucía,Analfabetos,2016,10.2,20.7,49.28
Andalucía,Analfabetos,2017,7.2,19.8,36.36
Andalucía,Analfabetos,2018,5.8,15.0,38.67
Andalucía,Analfabetos,2019,6.9,15.2,45.39
Andalucía,Analfabetos,2020,7.5,18.3,40.98
Andalucía,Analfabetos,2021,7.7,26.1,29.5
Andalucía,Analfabetos,2022,10.6,22.6,46.9
Andalucía,Analfabetos,2023,7.6,15.0,50.67
Andalucía,Analfabetos,2024,6.4,14.6,43.84
Andalucía,Básica,2014,63.7,112.3,56.72
Andalucía,Básica,2014,63.7,418.7,15.21
Andalucía,Básica,2015,51.6,116.1,44.44
Andalucía,Básica,2015,51.6,384.6,13.42
Andalucía,Básica,2016,49.5,106.1,46.65
Andalucía,Básica,2016,49.5,353.3,14.01
Andalucía,Básica,2017,41.3,96.6,42.75
Andalucía,Básica,2017,41.3,333.5,12.38
Andalucía,Básica,2018,39.6,96.1,41.21
Andalucía,Básica,2018,39.6,312.5,12.67
Andalucía,Básica,2019,27.7,89.4,30.98
Andalucía,Básica,2019,27.7,282.6,9.8
Andalucía,Básica,2020,25.4,84.5,30.06
Andalucía,Básica,2020,25.4,257.4,9.87
Andalucía,Básica,2021,25.5,83.7,30.47
Andalucía,Básica,2021,25.5,229.0,11.14
Andalucía,Básica,2022,19.9,71.5,27.83
Andalucía,Básica,2022,19.9,226.6,8.78
Andalucía,Básica,2023,16.9,65.5,25.8
Andalucía,Básica,2023,16.9,224.9,7.51
Andalucía,Básica,2024,19.5,58.7,33.22
Andalucía,Básica,2024,19.5,215.8,9.04
Andalucía,Básica,2014,198.6,112.3,176.85
Andalucía,Básica,2014,198.6,418.7,47.43
Andalucía,Básica,2015,173.2,116.1,149.18
Andalucía,Básica,2015,173.2,384.6,45.03
Andalucía,Básica,2016,147.9,106.1,139.4
Andalucía,Básica,2016,147.9,353.3,41.86
Andalucía,Básica,2017,134.6,96.6,139.34
Andalucía,Básica,2017,134.6,333.5,40.36
Andalucía,Básica,2018,110.3,96.1,114.78
Andalucía,Básica,2018,110.3,312.5,35.3
Andalucía,Básica,2019,92.3,89.4,103.24
Andalucía,Básica,2019,92.3,282.6,32.66
Andalucía,Básica,2020,86.7,84.5,102.6
Andalucía,Básica,2020,86.7,257.4,33.68
Andalucía,Básica,2021,77.9,83.7,93.07
Andalucía,Básica,2021,77.9,229.0,34.02
Andalucía,Básica,2022,72.7,71.5,101.68
Andalucía,Básica,2022,72.7,226.6,32.08
Andalucía,Básica,2023,72.2,65.5,110.23
Andalucía,Básica,2023,72.2,224.9,32.1
Andalucía,Básica,2024,64.1,58.7,109.2
Andalucía,Básica,2024,64.1,215.8,29.7
Andalucía,ESO,2014,601.6,,
Andalucía,ESO,2015,541.2,,
Andalucía,ESO,2016,502.0,,
Andalucía,ESO,2017,447.0,,
Andalucía,ESO,2018,385.3,,
Andalucía,ESO,2019,362.8,,
Andalucía,ESO,2020,353.9,,
Andalucía,ESO,2021,362.8,,
Andalucía,ESO,2022,317.3,,
Andalucía,ESO,2023,304.6,,
Andalucía,ESO,2024,269.1,,
Andalucía,Otros,2014,134.3,463.2,28.99
Andalucía,Otros,2015,127.7,476.3,26.81
Andalucía,Otros,2016,107.8,436.4,24.7
Andalucía,Otros,2017,95.9,451.2,21.25
Andalucía,Otros,2018,95.2,461.8,20.61
Andalucía,Otros,2019,87.3,469.1,18.61
Andalucía,Otros,2020,95.1,443.6,21.44
Andalucía,Otros,2021,90.9,431.8,21.05
Andalucía,Otros,2022,87.1,461.0,18.89
Andalucía,Otros,2023,88.0,490.8,17.93
