Sexo;Comunidades y Ciudades Autónomas;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;01 Andalucía;Analfabetos;2014;27,3
Ambos sexos;01 Andalucía;Analfabetos;2015;22,9
Ambos sexos;01 Andalucía;Analfabetos;2016;20,7
Ambos sexos;01 Andalucía;Analfabetos;2017;19,8
Ambos sexos;01 Andalucía;Analfabetos;2018;15,0
Ambos sexos;01 Andalucía;Analfabetos;2019;15,2
Ambos sexos;01 Andalucía;Analfabetos;2020;18,3
Ambos sexos;01 Andalucía;Analfabetos;2021;26,1
Ambos sexos;01 Andalucía;Analfabetos;2022;22,6
Ambos sexos;01 Andalucía;Analfabetos;2023;15,0
Ambos sexos;01 Andalucía;Analfabetos;2024;14,6
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2014;112,3
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2015;116,1
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2016;106,1
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2017;96,6
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2018;96,1
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2019;89,4
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2020;84,5
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2021;83,7
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2022;71,5
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2023;65,5
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2024;58,7
Ambos sexos;01 Andalucía;Educación primaria;2014;418,7
Ambos sexos;01 Andalucía;Educación primaria;2015;384,6
Ambos sexos;01 Andalucía;Educación primaria;2016;353,3
Ambos sexos;01 Andalucía;Educación primaria;2017;333,5
Ambos sexos;01 Andalucía;Educación primaria;2018;312,5
Ambos sexos;01 Andalucía;Educación primaria;2019;282,6
Ambos sexos;01 Andalucía;Educación primaria;2020;257,4
Ambos sexos;01 Andalucía;Educación primaria;2021;229,0
Ambos sexos;01 Andalucía;Educación primaria;2022;226,6
Ambos sexos;01 Andalucía;Educación primaria;2023;224,9
Ambos sexos;01 Andalucía;Educación primaria;2024;215,8
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2014;1.420,4
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2015;1.406,4
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2016;1.412,1
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2017;1.406,5
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2018;1.346,9
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2019;1.332,2
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2020;1.269,6
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2021;1.309,6
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2022;1.272,4
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2023;1.275,6
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2024;1.269,5
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2014;463,2
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2015;476,3
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2016;436,4
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2017;451,2
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2018;461,8
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2019;469,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2020;443,6
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2021;431,8
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2022;461,0
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2023;490,8
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2024;489,5
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;397,7
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;403,6
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;409,0
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;385,6
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;407,5
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;430,9
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;413,5
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;464,0
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;452,0
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;451,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024;463,5
Ambos sexos;01 Andalucía;Educación superior;2014;1.199,2
Ambos sexos;01 Andalucía;Educación superior;2015;1.232,5
Ambos sexos;01 Andalucía;Educación superior;2016;1.246,8
Ambos sexos;01 Andalucía;Educación superior;2017;1.265,1
Ambos sexos;01 Andalucía;Educación superior;2018;1.295,6
Ambos sexos;01 Andalucía;Educación superior;2019;1.339,1
Ambos sexos;01 Andalucía;Educación superior;2020;1.400,4
Ambos sexos;01 Andalucía;Educación superior;2021;1.489,8
Ambos sexos;01 Andalucía;Educación superior;2022;1.544,0
Ambos sexos;01 Andalucía;Educación superior;2023;1.615,9
Ambos sexos;01 Andalucía;Educación superior;2024;1.632,8
Ambos sexos;02 Aragón;Analfabetos;2014;2,0
Ambos sexos;02 Aragón;Analfabetos;2015;1,8
Ambos sexos;02 Aragón;Analfabetos;2016;1,0
Ambos sexos;02 Aragón;Analfabetos;2017;1,9
Ambos sexos;02 Aragón;Analfabetos;2018;1,0
Ambos sexos;02 Aragón;Analfabetos;2019;1,4
Ambos sexos;02 Aragón;Analfabetos;2020;3,2
Ambos sexos;02 Aragón;Analfabetos;2021;2,3
Ambos sexos;02 Aragón;Analfabetos;2022;3,7
Ambos sexos;02 Aragón;Analfabetos;2023;2,5
Ambos sexos;02 Aragón;Analfabetos;2024;2,4
Ambos sexos;02 Aragón;Estudios primarios incompletos;2014;7,0
Ambos sexos;02 Aragón;Estudios primarios incompletos;2015;6,1
Ambos sexos;02 Aragón;Estudios primarios incompletos;2016;5,1
Ambos sexos;02 Aragón;Estudios primarios incompletos;2017;3,4
Ambos sexos;02 Aragón;Estudios primarios incompletos;2018;5,2
Ambos sexos;02 Aragón;Estudios primarios incompletos;2019;4,6
Ambos sexos;02 Aragón;Estudios primarios incompletos;2020;4,1
Ambos sexos;02 Aragón;Estudios primarios incompletos;2021;3,7
Ambos sexos;02 Aragón;Estudios primarios incompletos;2022;7,3
Ambos sexos;02 Aragón;Estudios primarios incompletos;2023;7,2
Ambos sexos;02 Aragón;Estudios primarios incompletos;2024;6,6
Ambos sexos;02 Aragón;Educación primaria;2014;62,0
Ambos sexos;02 Aragón;Educación primaria;2015;50,5
Ambos sexos;02 Aragón;Educación primaria;2016;45,8
Ambos sexos;02 Aragón;Educación primaria;2017;40,5
Ambos sexos;02 Aragón;Educación primaria;2018;38,5
Ambos sexos;02 Aragón;Educación primaria;2019;27,1
Ambos sexos;02 Aragón;Educación primaria;2020;25,5
Ambos sexos;02 Aragón;Educación primaria;2021;23,2
Ambos sexos;02 Aragón;Educación primaria;2022;23,8
Ambos sexos;02 Aragón;Educación primaria;2023;21,0
Ambos sexos;02 Aragón;Educación primaria;2024;20,5
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2014;157,1
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2015;170,5
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2016;164,4
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2017;167,1
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2018;165,3
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2019;170,5
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2020;153,4
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2021;152,5
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2022;168,2
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2023;173,2
Ambos sexos;02 Aragón;Primera etapa de Educación Secundaria y similar;2024;180,2
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2014;97,4
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2015;96,8
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2016;103,3
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2017;94,3
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2018;88,7
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2019;94,1
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2020;98,2
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2021;100,3
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2022;81,9
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2023;75,9
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2024;82,2
