Sexo;Comunidades y Ciudades Autónomas;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;01 Andalucía;Analfabetos;2014;18,3
Ambos sexos;01 Andalucía;Analfabetos;2015;14,2
Ambos sexos;01 Andalucía;Analfabetos;2016;10,2
Ambos sexos;01 Andalucía;Analfabetos;2017;7,2
Ambos sexos;01 Andalucía;Analfabetos;2018;5,8
Ambos sexos;01 Andalucía;Analfabetos;2019;6,9
Ambos sexos;01 Andalucía;Analfabetos;2020;7,5
Ambos sexos;01 Andalucía;Analfabetos;2021;7,7
Ambos sexos;01 Andalucía;Analfabetos;2022;10,6
Ambos sexos;01 Andalucía;Analfabetos;2023;7,6
Ambos sexos;01 Andalucía;Analfabetos;2024;6,4
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2014;63,7
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2015;51,6
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2016;49,5
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2017;41,3
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2018;39,6
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2019;27,7
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2020;25,4
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2021;25,5
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2022;19,9
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2023;16,9
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2024;19,5
Ambos sexos;01 Andalucía;Educación primaria;2014;198,6
Ambos sexos;01 Andalucía;Educación primaria;2015;173,2
Ambos sexos;01 Andalucía;Educación primaria;2016;147,9
Ambos sexos;01 Andalucía;Educación primaria;2017;134,6
Ambos sexos;01 Andalucía;Educación primaria;2018;110,3
Ambos sexos;01 Andalucía;Educación primaria;2019;92,3
Ambos sexos;01 Andalucía;Educación primaria;2020;86,7
Ambos sexos;01 Andalucía;Educación primaria;2021;77,9
Ambos sexos;01 Andalucía;Educación primaria;2022;72,7
Ambos sexos;01 Andalucía;Educación primaria;2023;72,2
Ambos sexos;01 Andalucía;Educación primaria;2024;64,1
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2014;601,6
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2015;541,2
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2016;502,0
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2017;447,0
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2018;385,3
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2019;362,8
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2020;353,9
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2021;362,8
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2022;317,3
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2023;304,6
Ambos sexos;01 Andalucía;Primera etapa de Educación Secundaria y similar;2024;269,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2014;134,3
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2015;127,7
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2016;107,8
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2017;95,9
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2018;95,2
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2019;87,3
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2020;95,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2021;90,9
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2022;87,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2023;88,0
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2024;80,5
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;131,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;126,0
